lon,lat,mean,sd,min,max
3873265.796,3665320.549,24.71318805,7.116076847,0,89.1376539
3873315.144,3665295.351,25.13640075,7.065187189,0,89.13765301
3873077.734,3665373.767,24.22796283,7.194646202,0,89.1376608
3872871.378,3665269.289,24.1664242,7.317683488,0,89.13765285
3872866.306,3665257.088,24.16794864,7.312901002,0,89.13766041
3872943.347,3665420.797,24.04235563,7.460699867,0,89.13766064
3872842.874,3665333.371,24.15105378,7.343912664,0,89.13765829
3872852.929,3665224.908,24.86090355,7.409525669,0,89.13765
3873284.886,3665228.277,25.15526123,7.047946657,0,89.13766381
3872860.481,3665243.076,24.16915789,7.308399373,0,89.13766286
3873394.22,3665238.802,25.05310042,7.176782603,0,89.13765778
3873354.505,3665248.474,25.11822941,7.090009979,0,89.13765662
3873113.114,3665235.603,24.20887549,7.244079453,0,89.13765036
3873313.96,3665214.718,25.12376932,7.088844714,0,89.13765213
3873215.138,3665162.53,24.49783932,7.188871377,0,89.13765306
3873191.55,3665170.236,24.50768227,7.178113382,0,89.1376537
3873167.831,3665177.838,24.56979343,7.108997004,0,89.13766282
3873269.726,3665077.197,24.28259194,7.361459581,0,89.13765282
3873254.737,3665056.777,24.28790565,7.357938711,0,89.13766127
3873215.519,3665090.167,24.51365839,7.168384695,0,89.13765505
3873189.218,3665131.963,24.50497636,7.180933204,0,89.13766106
3873132.756,3665184.326,24.57317474,7.112367207,0,89.13766036
3873107.992,3665188.509,24.63910513,7.115523337,0,89.13766227
3873084.951,3665193.846,24.21411538,7.245576491,0,89.13765017
3872911.955,3665131.247,24.1988134,7.260692033,0,89.13766458
3873018.596,3665141.836,24.222032,7.233307278,0,89.13766359
3872971.71,3665111.336,24.21836295,7.238348835,0,89.13766002
3873028.951,3665082.781,24.71958,6.989579503,0,89.13766288
3872929.52,3664968.156,22.93426032,7.283258713,0,89.13765588
3872888.732,3664919.957,22.89799696,7.330311591,0,89.13766256
3873028.563,3664928.191,22.97114339,7.233249057,0,89.13765254
3872938.652,3664893.861,23.01319535,7.19746224,0,89.13766342
3872988.889,3664868.249,23.05101572,7.147324861,0,89.13766158
3873018.193,3664880.414,24.69719444,7.007525409,0,89.1376547
3873113.677,3664944.47,24.62502284,7.104958068,0,89.13766512
3873148.013,3664913.524,25.30799319,6.903538023,0,89.13765952
3873182.782,3664884.855,25.29867768,6.919117576,0,89.13765662
3873132.435,3665037.062,24.62058907,7.11686989,0,89.13765296
3873332.279,3665046.265,24.92648733,7.272011961,0,89.1376636
3873268.95,3664820.281,24.66496315,7.025870598,0,89.13766353
3873276.315,3664828.945,24.63766281,7.067083983,0,89.13766172
3873300.063,3665054.203,24.28177696,7.362237628,0,89.13766459
3873310.116,3665069.676,24.9003602,7.309414998,0,89.13765891
3873277.387,3665018.918,24.28842545,7.360084611,0,89.13765504
3873373.215,3664989.119,24.61588237,7.252105067,0,89.137651
3873313.773,3665021.789,24.92960276,7.26751693,0,89.13765272
3873384.698,3665020.159,24.61561425,7.252509998,0,89.13765907
3873379.703,3665051.115,24.8644997,7.364641773,0,89.13765295
3873258.677,3665189.284,25.15948182,7.047341975,0,89.13765957
3873285.494,3665184.483,25.15575409,7.051217524,0,89.13766112
3873387.145,3665192.703,25.05737006,7.175766875,0,89.1376608
3872870.666,3664785.62,22.97476934,7.223486305,0,89.13765804
3872925.861,3664809.778,23.01290037,7.173280583,0,89.13765024
3873158.023,3665115.679,24.6076295,7.133842193,0,89.13766463
3873093.662,3664844.105,24.71094896,6.975493836,0,89.13765637
3873321.732,3665087.477,24.89171717,7.322994736,0,89.13765102
3873247.319,3664881.541,24.35785923,7.257215788,0,89.137651
3873263.512,3664905.205,24.34902006,7.273387555,0,89.13765806
3873373.998,3664846.046,23.78260582,7.049521371,0,89.13765701
3873307.103,3664914.962,24.89148841,7.333488878,0,89.13766503
3873290.177,3664889.628,24.34733986,7.276489499,0,89.13765696
3873288.235,3664854.97,24.35619263,7.260255585,0,89.13765254
3873229.132,3664799.775,24.65467151,7.042742346,0,89.13766181
3873313.024,3664804.72,24.68580903,6.993689467,0,89.13765963
3873321.969,3664833.501,23.79071613,7.031750284,0,89.13766055
3873382.461,3664873.341,23.77240944,7.070311392,0,89.13766245
3873365.906,3664819.156,23.79009523,7.033111436,0,89.13766079
3873395.185,3664810.741,22.72886647,7.111667141,0,85.98271989
3873366.77,3665150.594,24.88126626,7.334448835,0,89.13765161
3873370.301,3665125.071,24.91078835,7.295205174,0,89.13766243
3873348.915,3665114.425,24.89986059,7.31125124,0,89.13765215
3873366.809,3665162.758,25.06838237,7.162784974,0,89.1376658
3873384.432,3665116.767,24.92232711,7.27752182,0,89.1376559
3873149.083,3664840.165,25.31221201,6.896502693,0,89.13765244
3873185.101,3664821.904,24.6680299,7.02419471,0,89.13766393
3873120.999,3664800.65,24.68012213,7.017850903,0,89.13766196
3872982.721,3665201.248,24.22901358,7.219839701,0,89.13766116
3873203.883,3664864.171,25.29546983,6.924110036,0,89.13765378
3872950.577,3664800.391,23.56195475,6.978601207,0,89.13765095
3872966.945,3664842.188,23.11153095,7.068122675,0,89.13766339
3872967.393,3664828.472,23.11250837,7.066361165,0,89.1376637
3873042.155,3664891.879,24.70282412,7.001406857,0,89.13765271
3873069.478,3664906.735,24.62551452,7.093551254,0,89.13765651
3873091.69,3664928.755,24.62270786,7.103871518,0,89.13765525
3873173.801,3665013.639,24.59691526,7.152859344,0,89.13765511
3873114.719,3664894.538,24.62309674,7.103731633,0,89.13766267
3873088.043,3664871.843,24.62548694,7.093817684,0,89.13766584
3873075.432,3664860.319,24.70363971,7.001603046,0,89.13765992
3873212.975,3664830.935,24.65400996,7.043639752,0,89.13764988
3873201.39,3664910.212,24.63707706,7.071503137,0,89.13765039
3873236.885,3664784.996,24.65496322,7.042347207,0,89.13766295
3873314.25,3665170.864,25.11921252,7.095442707,0,89.13766559
3873296.01,3665138.779,24.26559676,7.384395542,0,89.13764981
3873199.219,3665060.843,24.5220667,7.165388143,0,89.13765946
3873284.827,3665102.071,24.26587085,7.384081453,0,89.13766519
3873408.089,3664969.423,23.82165422,7.004539269,0,89.13766105
3872871.593,3664830.276,22.9675115,7.233744813,0,89.13765616
3872844.347,3665204.264,24.70722998,7.376736792,0,89.13764981
3872905.197,3664774.483,23.00682304,7.178937732,0,89.13766415
3873382.436,3664772.656,22.72753008,7.11385032,0,85.98272367
3873304.656,3664777.479,24.68580903,6.993689467,0,89.13765963
3873248.377,3664779.687,24.66561639,7.02486337,0,89.13765852
3873026.756,3664766.011,23.55294652,6.978832021,0,89.13764952
3872928.268,3664761.314,23.55926766,6.983259447,0,89.13766573
3873204.802,3664719.229,24.35906793,7.100499385,0,89.13765114
3873203.802,3664734.169,24.35681583,7.104322698,0,89.13765089
3873257.849,3664747.681,24.70572702,6.971478048,0,89.13765398
3873278.273,3664747.5,24.69182382,6.986664871,0,89.13764979
3873385.7,3664610.305,22.74962076,7.07830922,0,85.98272151
3873399.658,3664713.035,23.4272911,7.096852798,0,89.13765367
3873392.339,3664680.141,23.42414772,7.096589693,0,89.13766577
3873376.532,3664646.078,23.41773458,7.101854522,0,89.13765467
3873153.523,3664586.999,23.44789161,6.917249472,0,89.13766343
3873214.266,3664546.489,22.86813322,7.171939692,0,89.13765258
3873177.957,3664549.411,23.25212142,7.085185727,0,89.13765038
3873015.346,3664647.77,23.45798804,7.083533274,0,89.13765128
3873062.633,3664626.859,23.47476193,7.069268771,0,89.13765899
3873113.267,3664568.703,23.42191561,7.137453206,0,89.1376506
3873079.492,3664583.159,23.44697384,7.106016886,0,89.13766568
3872987.771,3664622.983,23.4465165,7.092640155,0,89.13765892
3872957.059,3664636.395,24.04519242,7.141174896,0,89.1376615
3872921.418,3664653.106,24.03463884,7.145415107,0,89.1376599
3872894.163,3664741.232,23.49296009,7.056335232,0,89.13765551
3872884.239,3664709.273,22.96854001,7.212250828,0,89.13765639
3872914.21,3664725.669,23.4912204,7.057597405,0,89.13765211
3873181.149,3664585.49,23.25296205,7.083723036,0,89.13765467
3873373.657,3664743.187,23.42905962,7.097562456,0,89.13766085
3873355.589,3664749.545,23.41250414,7.124982805,0,89.13765253
