lat,lon,mean,sd,min,max
31.24994385,34.79369883,23.08291472,6.937738795,0,87.19826199
31.24998192,34.79468526,22.79568057,6.347207887,0,84.83765155
31.25009405,34.79543843,22.27631135,6.416232211,0,84.83766291
31.25127004,34.79360791,22.26688533,6.417650695,0,84.8376604
31.25103219,34.79408755,22.77191103,6.367261908,0,84.83765635
31.25090937,34.7943239,22.78735887,6.352076691,0,84.8376508
31.25066934,34.79421863,22.78738382,6.352030317,0,84.83765195
31.2507978,34.79459264,22.78166116,6.363150806,0,84.83765739
31.25064811,34.79442486,22.78377313,6.358995362,0,84.83765068
31.25049617,34.79466851,22.28709718,6.397489596,0,84.83766155
31.25041304,34.79502506,22.27715172,6.410498367,0,84.83765787
31.25067633,34.79507726,22.27758058,6.409893317,0,84.83765982
31.25031463,34.79548715,21.48511434,5.831547892,0,84.83765644
31.25057284,34.7953368,21.48917532,5.827956203,0,84.83766423
31.25095133,34.79522385,20.87170302,5.705910233,0,84.83766476
31.25097786,34.79507819,20.87776161,5.696763353,0,84.83766378
31.2510053,34.7949275,21.48901605,5.809724236,0,84.83765789
31.2510317,34.79478252,21.49297595,5.803695869,0,84.83766482
31.25150358,34.79265837,22.81908446,6.28025185,0,84.83765391
31.25139361,34.79269585,22.81449913,6.287924643,0,84.83766577
31.25141692,34.79262995,22.81900832,6.280389389,0,84.83766516
31.25060333,34.79451663,22.78588589,6.357293272,0,84.83764987
31.25054674,34.79448802,22.79457291,6.343951668,0,84.83765394
31.2504716,34.79413864,23.08980713,6.375282746,0,84.8376598
31.25027809,34.79458194,22.7997474,6.341237667,0,84.83766473
31.2508803,34.79244925,22.27295752,6.545955426,0,84.83765431
31.25007794,34.79059553,21.88300132,6.480592126,0,84.83765573
31.24998424,34.79054996,21.88304316,6.476745056,0,84.8376633
31.25124148,34.79124203,21.76601079,6.717197854,0,84.83765724
31.25057008,34.79033947,22.19479054,6.670306976,0,84.83765919
31.2497371,34.79042979,21.8796732,6.472775806,0,84.83765207
31.24976297,34.79431013,23.08223343,6.390344236,0,84.83766547
31.24987663,34.79049764,21.88242018,6.473379122,0,84.83766575
31.2498438,34.79529229,22.28393981,6.410413512,0,84.83765438
31.24991808,34.79493552,22.78669187,6.360676298,0,84.83765662
31.24981923,34.79276708,22.755838,6.946262477,0,87.19827367
31.24965884,34.79457131,22.78787279,6.496621908,0,84.8376654
31.24925804,34.79368358,22.20294831,6.610593141,0,84.83766005
31.24931723,34.79347168,22.38623664,6.677201691,0,84.83766069
31.24937561,34.7932586,22.57068007,6.617137935,0,84.83766282
31.2486027,34.79417395,21.8691931,6.522121981,0,84.83764943
31.24844587,34.79403929,21.87435656,6.518138416,0,84.83766039
31.24870231,34.79368699,21.8841675,6.505535448,0,84.83765166
31.2490233,34.79345073,22.36940315,6.69720677,0,84.83765139
31.24942544,34.79294353,22.33478014,6.455341238,0,84.83766036
31.24945756,34.79272106,22.51708211,6.573092905,0,84.83765975
31.24949855,34.79251408,22.51097599,6.581337147,0,84.83766433
31.24901779,34.79096003,22.42901498,6.810135917,0,87.19827387
31.24909912,34.79191801,22.13660094,6.520690691,0,84.83766107
31.24886488,34.79149682,22.45254946,6.786099437,0,87.19826415
31.24864558,34.79201102,23.37394384,6.814639434,0,87.19826198
31.24776527,34.79111782,21.89354742,6.681343983,0,84.83765249
31.2473951,34.79075141,21.86135541,6.72370806,0,84.83765916
31.24745834,34.79200754,22.25414519,6.598718581,0,84.83765326
31.24719468,34.79119986,22.51178578,6.913091642,0,86.43435302
31.24699798,34.79165114,23.40328652,6.884107366,0,86.43433939
31.24709141,34.79191439,23.29320514,6.626443791,0,84.83765219
31.24758336,34.79277213,22.40210391,6.639525957,0,84.83766173
31.24734569,34.79308058,22.43765077,6.580577026,0,84.83765613
31.24712551,34.79339291,22.43356003,6.58899809,0,84.83765323
31.24829446,34.79294064,22.39694834,6.652146258,0,84.83764957
31.24836514,34.79473587,21.88005737,6.505719316,0,84.8376653
31.24662958,34.79416698,22.63090614,6.404940226,0,84.83766014
31.24669612,34.79423313,22.42441458,6.608439315,0,84.83765833
31.24842611,34.79444647,21.86843795,6.522877807,0,84.8376612
31.24854494,34.79453678,21.86230405,6.529974335,0,84.83765551
31.24815512,34.79424277,21.46709272,6.934224573,0,84.83765416
31.24792626,34.7951036,21.69933236,6.615591571,0,84.83766428
31.24817717,34.79456963,21.88531526,6.499535908,0,84.8376627
31.24816465,34.79520676,21.69923827,6.615785485,0,84.83765567
31.24840239,34.79516188,21.62785799,6.707809903,0,84.83764956
31.24946352,34.79407469,23.08182816,6.392793836,0,84.83765957
31.24942664,34.79431559,23.08157034,6.395990796,0,84.83766112
31.24948977,34.79522874,21.86812451,6.576606693,0,84.83765496
31.24636338,34.79058913,22.13174728,6.715705501,0,84.83765804
31.24654892,34.79108495,23.15557241,6.711050621,0,84.83765024
31.24889824,34.7931705,21.89264044,6.491948242,0,84.83766124
31.24681255,34.79259233,23.20903523,6.381654831,0,84.83765297
31.24868165,34.79464112,21.85327424,6.541403078,0,84.83766429
31.24710006,34.79397266,22.41937347,6.617200545,0,84.83766428
31.2472818,34.79411812,22.23671228,6.637764772,0,84.83765466
31.24682746,34.79511064,21.18279892,6.603871769,0,84.83765276
