lon,lat,mean,sd,min,max
34.79464112,31.24868165,24.89171717,7.322994736,0,89.13765102
34.79397266,31.24710006,24.35785923,7.257215788,0,89.137651
34.79411812,31.2472818,24.34902006,7.273387555,0,89.13765806
34.79511064,31.24682746,23.78260582,7.049521371,0,89.13765701
34.79450971,31.24735674,24.89148841,7.333488878,0,89.13766503
34.79435766,31.24716217,24.34733986,7.276489499,0,89.13765696
34.79434022,31.246896,24.35619263,7.260255585,0,89.13765254
34.79380928,31.2464721,24.65467151,7.042742346,0,89.13766181
34.7945629,31.24651007,24.68580903,6.993689467,0,89.13765963
34.79464325,31.24673112,23.79071613,7.031750284,0,89.13766055
34.79518666,31.24703709,23.77240944,7.070311392,0,89.13766245
34.79503795,31.24662094,23.79009523,7.033111436,0,89.13766079
34.79530096,31.24655631,22.72886647,7.111667141,0,85.98271989
34.79504571,31.24916638,24.88126626,7.334448835,0,89.13765161
34.79507743,31.24897036,24.91078835,7.295205174,0,89.13766243
34.79488531,31.2488886,24.89986059,7.31125124,0,89.13765215
34.79504606,31.2492598,25.06838237,7.162784974,0,89.1376658
34.79520437,31.24890659,24.92232711,7.27752182,0,89.1376559
34.79309019,31.2467823,25.31221201,6.896502693,0,89.13765244
34.79341374,31.24664205,24.6680299,7.02419471,0,89.13766393
34.79283791,31.24647882,24.68012213,7.017850903,0,89.13766196
34.79159573,31.2495554,24.22901358,7.219839701,0,89.13766116
34.79358247,31.24696666,25.29546983,6.924110036,0,89.13765378
34.79130698,31.24647683,23.56195475,6.978601207,0,89.13765095
34.79145401,31.24679783,23.11153095,7.068122675,0,89.13766339
34.79145804,31.24669249,23.11250837,7.066361165,0,89.1376637
34.79212964,31.24717946,24.70282412,7.001406857,0,89.13765271
34.79237509,31.24729355,24.62551452,7.093551254,0,89.13765651
34.79257462,31.24746267,24.62270786,7.103871518,0,89.13765525
34.79331224,31.24811458,24.59691526,7.152859344,0,89.13765511
34.7927815,31.24719988,24.62309674,7.103731633,0,89.13766267
34.79254186,31.24702558,24.62548694,7.093817684,0,89.13766584
34.79242858,31.24693708,24.70363971,7.001603046,0,89.13765992
34.79366414,31.24671141,24.65400996,7.043639752,0,89.13764988
34.79356007,31.24732026,24.63707706,7.071503137,0,89.13765039
34.79387893,31.24635859,24.65496322,7.042347207,0,89.13766295
