

-- Schedule for TransitLine with ObjectID 355 --
Route type: Bus
start_time  end_time  weekdays  trip_id  route_id  service_id
07:16:11  07:17:37  MTWTh--Su  israelpublictransportation02052018BSOnly:28536885_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
07:17:47  07:19:13  ----F--  israelpublictransportation02052018BSOnly:31936792_210518  israelpublictransportation02052018BSOnly:17513  israelpublictransportation02052018BSOnly:59181940
07:17:47  07:19:13  MTWTh--Su  israelpublictransportation02052018BSOnly:31936337_010518  israelpublictransportation02052018BSOnly:17513  israelpublictransportation02052018BSOnly:59181935
07:17:47  07:19:13  ----F--  israelpublictransportation02052018BSOnly:31936792_010518  israelpublictransportation02052018BSOnly:17513  israelpublictransportation02052018BSOnly:59181936
07:17:47  07:19:13  MTWTh--Su  israelpublictransportation02052018BSOnly:31936337_210518  israelpublictransportation02052018BSOnly:17513  israelpublictransportation02052018BSOnly:59181939
07:21:11  07:22:37  ----F--  israelpublictransportation02052018BSOnly:28536975_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182075
07:21:11  07:22:37  ----F--  israelpublictransportation02052018BSOnly:28536975_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182089
07:29:22  07:30:48  MTWTh--Su  israelpublictransportation02052018BSOnly:31940550_210518  israelpublictransportation02052018BSOnly:17545  israelpublictransportation02052018BSOnly:59182209
07:29:22  07:30:48  MTWTh--Su  israelpublictransportation02052018BSOnly:31940550_010518  israelpublictransportation02052018BSOnly:17545  israelpublictransportation02052018BSOnly:59182205
07:31:11  07:32:37  MTWTh--Su  israelpublictransportation02052018BSOnly:28537002_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
07:31:11  07:32:37  MTWTh--Su  israelpublictransportation02052018BSOnly:28537002_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
07:32:47  07:34:13  MTWTh--Su  israelpublictransportation02052018BSOnly:31936338_010518  israelpublictransportation02052018BSOnly:17513  israelpublictransportation02052018BSOnly:59181935
07:32:47  07:34:13  ----F--  israelpublictransportation02052018BSOnly:31936793_210518  israelpublictransportation02052018BSOnly:17513  israelpublictransportation02052018BSOnly:59181940
07:32:47  07:34:13  ----F--  israelpublictransportation02052018BSOnly:31936793_010518  israelpublictransportation02052018BSOnly:17513  israelpublictransportation02052018BSOnly:59181936
