

-- Schedule for TransitLine with ObjectID 682 --
Route type: Bus
start_time  end_time  weekdays  trip_id  route_id  service_id
10:31:33  10:33:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537043_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
10:31:33  10:33:51  ----F--  israelpublictransportation02052018BSOnly:28536985_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182075
10:31:33  10:33:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537043_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
10:44:18  10:46:36  ----F--  israelpublictransportation02052018BSOnly:26406510_210518  israelpublictransportation02052018BSOnly:185  israelpublictransportation02052018BSOnly:59182087
10:44:18  10:46:36  ----F--  israelpublictransportation02052018BSOnly:26406510_010518  israelpublictransportation02052018BSOnly:185  israelpublictransportation02052018BSOnly:59182085
10:46:33  10:48:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537048_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
10:46:33  10:48:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537048_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
11:01:33  11:03:51  ----F--  israelpublictransportation02052018BSOnly:28536986_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182089
11:01:33  11:03:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537053_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
11:01:33  11:03:51  ----F--  israelpublictransportation02052018BSOnly:28536986_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182075
11:01:33  11:03:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537053_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
